term,definition,level
"Name the 8 Limbs of Yoga","Yama (restraints)
Niyama (observances)
Asana (posture)
Pranayama (breath)
Pratyahara (withdrawal)
Dharana (focus)
Dhyana (meditation)
Samadhi (absorption)",1
"Name the 8 Ashtanga Drishti","Nasagrai (nose tip)
Bhrumadhya (third eye)
Nabi Chakra (navel)
Hastagrai (hand)
Padhayoragrai (toes)
Parsva (side)
Angusta Ma Dyai (thumbs)
Urdhva (upward)",1
"Name the 4 Ligaments of the Knee","Anterior Cruciate Ligament (ACL)
Posterior Cruciate Ligament (PCL)
Lateral Collateral Ligament (LCL)
Medial Collateral Ligament (MCL)",1
"Name 5 of the 9 Anatomical Movements","Flexion
Extension
Adduction
Abduction
Pronation
Supination
Rotation
Dorsiflexion
Plantar Flexion",1
"Name the 9 Obstacles to Yoga Sadhana (Antarayas)","Vyadhi (disease)
Styana (dullness)
Samshaya (doubt)
Pramada (negligence)
Alasya (laziness)
Avirati (craving)
Bhranti Darshana (delusion)
Alabdha Bhumikatva (non-attainment)
Anavasthitatva (instability)",1
"Name the 6 Requirements of Pranayama","Asana (posture)
Kumbhaka (retention)
Mudra (gesture)
Bandha (lock)
Dhyana (meditation)
Mantra (chant)",1
"Name the 5 Elements (Panchamahabhuta) in Order","Space (Akasha)
Air (Vayu)
Fire (Agni)
Water (Jala)
Earth (Prithvi)",1
"Name the 12 Steps of Hatha Yoga Surya Namaskar (Bihar School)","1. Exhale, hands at heart in prayer position — Pranamasana
2. Inhale, raise your arms — Hasta Uttanasana
3. Exhale, touch your toes — Padahastasana
4. Inhale, step left leg back — Ashwa Sanchalanasana
5. Exhale, step right leg back, raise your hips — Parvatasana
6. In the same breath, knees, chest, chin to the ground — Ashtanga Namaskara
7. Inhale, raise your chest — Bhujangasana
8. Exhale, back to the mountain — Parvatasana
9. Inhale, step the left leg forward — Ashwa Sanchalanasana
10. Exhale, step the right leg forward — Padahastasana
11. Inhale, raise your arms — Hasta Uttanasana
12. Exhale, hands to prayer position — Pranamasana
13. (repeat with opposite legs)",1
"What is an Asana?","Sthiran Sukham Asanam — a posture that is stable (physically and emotionally) and comfortable, with correct alignment (Yoga Sutras II.46)",1
"Name the 4 Types of Yoga","Jnana Yoga (knowledge)
Bhakti Yoga (devotion)
Karma Yoga (action)
Raja Yoga (royal)",1
"Name the 6 Astika Schools (Orthodox Hindu Philosophy)","Nyaya
Vaisheshika
Samkhya
Yoga
Mimamsa (Purva Mimamsa)
Vedanta (Uttara Mimamsa)",1
"Name the 3 Nastika Schools (Heterodox Philosophy)","Buddhism
Jainism
Charvaka",1
"Name the 3 Doshas","Vata (wind)
Pitta (fire)
Kapha (earth)",1
"Name the 5 Yamas","Ahimsa (non-violence)
Satya (truth)
Asteya (non-stealing)
Brahmacharya (continence)
Aparigraha (non-possessiveness)",1
"Name the 6 Shatkarma (Shat Kriyas)","Dhauti (cleansing)
Basti (enema)
Neti (nasal)
Nauli (abdominal)
Trataka (gazing)
Kapalabhati (skull-shining)",1
"Antahkarana","Inner instrument — fourfold faculty through which consciousness operates:
Mana (mind)
Buddhi (intellect)
Citta (memory)
Ahamkara (ego)",1
"Name the 4 Components of Antahkarana","Mana (mind)
Buddhi (intellect)
Citta (memory)
Ahamkara (ego)",1
"Define Yoga","Yoga citta vritti nirodha — yoga is the cessation of fluctuations of the mind",1
"Define Hatha Yoga","Traditional and foundational branch of yoga combining asanas, pranayama, and meditation to balance mind and body",1
"Benefits of Triangle Pose (Trikonasana)","Stretches hamstrings, groins, hips, IT band, and spine
Strengthens thighs, knees, and ankles
Opens chest and shoulders
Stimulates abdominal organs and improves digestion
Relieves back pain and sciatica
Builds balance and stability
Reduces stress and anxiety",1
"3–4 Prep Exercises for Downward Dog — and why","1. Cat-Cow: warms the spine, mobilizes wrists and shoulders
2. Plank Pose: builds shoulder stability and core strength needed to hold DD
3. Puppy Pose (Uttana Shishosana): opens upper back and stretches lats, mimicking DD arm extension
4. Standing Forward Fold (Uttanasana): lengthens hamstrings and calves, easing posterior chain tension that prevents heels from grounding",1
"Yama","1st limb — ethical restraints toward others:
Ahimsa (non-violence)
Satya (truthfulness)
Asteya (non-stealing)
Brahmacharya (continence)
Aparigraha (non-possessiveness)",2
"Niyama","2nd limb — personal observances and self-disciplines:
Saucha (cleanliness)
Santosha (contentment)
Tapas (austerity)
Svadhyaya (self-study)
Ishvara Pranidhana (surrender to the divine)",2
"Asana","3rd limb — sthiran sukham asanam: a stable (physically and emotionally) and comfortable posture where alignment is correct; also a requirement of pranayama: a stable, comfortable posture that allows free breath movement and sustained concentration",2
"Pranayama","4th limb — breath control; regulation and extension of prana (life force) through breathing techniques",2
"Pratyahara","5th limb — withdrawal of the senses; drawing awareness inward and away from external stimuli",2
"Dharana","6th limb — concentration; sustained, focused attention on a single point or object",2
"Dhyana","7th limb — meditation; unbroken, continuous flow of concentration leading toward absorption; also a requirement of pranayama: directing focused attention to a specific chakra or internal focal point during practice",2
"Samadhi","8th limb — blissful absorption; complete union with the object of meditation; enlightenment",2
"Nasagrai","Drishti: gaze fixed at the tip of the nose",2
"Bhrumadhya","Drishti: gaze fixed at the third eye center, between the eyebrows (Ajna Chakra)",2
"Nabi Chakra","Drishti: gaze fixed at the navel center",2
"Hastagrai","Drishti: gaze fixed at the hand or fingertips",2
"Padhayoragrai","Drishti: gaze fixed at the tips of the toes or feet",2
"Parsva","Drishti: gaze fixed far to the side (right or left)",2
"Angusta Ma Dyai","Drishti: gaze fixed at the thumbs",2
"Urdhva","Drishti: gaze fixed upward toward the sky",2
"Flexion","Decreasing the angle between two body parts by bending a joint (e.g., bending the knee or elbow)",2
"Extension","Increasing the angle between two body parts by straightening a joint (e.g., straightening the knee or elbow)",2
"Adduction","Movement of a limb toward the midline of the body",2
"Abduction","Movement of a limb away from the midline of the body",2
"Pronation","Rotation of the forearm so the palm faces downward; also refers to inward rolling of the foot/ankle",2
"Supination","Rotation of the forearm so the palm faces upward; also refers to outward rolling of the foot/ankle",2
"Rotation","Movement of a body part around its own longitudinal axis",2
"Dorsiflexion","Flexion of the foot upward toward the shin, decreasing the angle at the ankle joint",2
"Plantar Flexion","Extension of the foot downward away from the shin (pointing the toes), increasing the angle at the ankle joint",2
"Vyadhi","Antaraya: physical disease or ailment (e.g., chronic pain) that disrupts practice",2
"Styana","Antaraya: mental dullness or lack of interest; apathy toward practice",2
"Samshaya","Antaraya: doubt; uncertainty about the path or one's own capability",2
"Pramada","Antaraya: carelessness or procrastination; neglecting consistent practice",2
"Alasya","Antaraya: physical laziness; heaviness of body that resists effort",2
"Avirati","Antaraya: craving of the senses; inability to detach from sensory pleasures",2
"Bhranti Darshana","Antaraya: false perception or misconception; deluded understanding of the practice or self",2
"Alabdha Bhumikatva","Antaraya: failure to attain the ground of higher practice; unable to reach advanced stages",2
"Anavasthitatva","Antaraya: inability to maintain or stabilize attainments; falling back from achieved states",2
"Kumbhaka","Breath retention; holding the breath after inhalation (antara kumbhaka) or after exhalation (bahya kumbhaka)",2
"Antara Kumbhaka","Internal breath retention; holding the breath after a full inhalation; builds prana and heat, stimulates the nervous system",2
"Bahya Kumbhaka","External breath retention; holding the breath after a full exhalation; creates stillness, draws energy inward, and strengthens the bandhas",2
"Mudra","Gestures or ""mental attitudes"" that redirect prana; 108 mudras are available",2
"Bandha","Energy locks that contain and direct prana (e.g., Mula Bandha, Uddiyana Bandha, Jalandhara Bandha)",2
"Mantra","Mental chant used to tame and focus the mind during pranayama practice",2
"Jnana Yoga","Path of knowledge and wisdom; liberation through study, self-inquiry, and discernment between the real and unreal",2
"Bhakti Yoga","Path of devotion; liberation through love, surrender, and worship of the divine",2
"Karma Yoga","Path of selfless action; liberation through service performed without attachment to results",2
"Raja Yoga","The royal path; liberation through meditation and the 8 limbs of Patanjali's Ashtanga system",2
"Nyaya","Astika: orthodox school of logic and epistemology; establishes the four valid means of knowledge (Pramanas)",2
"Vaisheshika","Astika: orthodox school of atomism; categorizes all reality into substances, qualities, and actions",2
"Samkhya","Astika: orthodox dualistic school; enumerates 25 tattvas arising from Purusha (pure consciousness) and Prakriti (matter)",2
"Yoga","Astika: orthodox school of Patanjali; practical 8-limbed path to liberate Purusha from Prakriti through discipline and meditation",2
"Mimamsa / Purva Mimamsa","Astika: orthodox school of Vedic ritual interpretation; emphasizes correct performance of dharma and sacrificial rites",2
"Vedanta / Uttara Mimamsa","Astika: orthodox school exploring the nature of Brahman; encompasses Advaita (non-dualism), Dvaita (dualism), and Vishishtadvaita among others",2
"Buddhism","Nastika: heterodox school founded by Siddhartha Gautama; rejects Vedic authority; teaches the Four Noble Truths, Eightfold Path, impermanence, and no-self (anatta)",2
"Jainism","Nastika: heterodox school associated with Mahavira; rejects Vedic authority; teaches ahimsa, anekantavada (non-absolutism), and liberation through non-attachment",2
"Charvaka","Nastika: heterodox materialist school; rejects the Vedas and all metaphysics; holds that only direct perception (pratyaksha) is valid knowledge",2
"Vata","Dosha composed of air (Vayu) and space (Akasha); governs movement, creativity, and the nervous system; imbalance manifests as anxiety, dryness, and irregular digestion",2
"Pitta","Dosha composed of fire (Agni) and water (Jala); governs transformation, digestion, and metabolism; imbalance manifests as anger, inflammation, and overheating",2
"Kapha","Dosha composed of earth (Prithvi) and water (Jala); governs stability, lubrication, and structure; imbalance manifests as lethargy, congestion, and weight gain",2
"Ahimsa","Yama: non-violence; refraining from harm in thought, word, and deed toward all living beings",2
"Satya","Yama: truthfulness; alignment of thought, speech, and action with truth",2
"Asteya","Yama: non-stealing; not taking what has not been freely given, including time, ideas, or energy",2
"Brahmacharya","Yama: right use of energy or continence; traditionally celibacy; broadly the conservation and redirection of vital energy away from sensory indulgence",2
"Aparigraha","Yama: non-possessiveness; not hoarding; taking only what is necessary and releasing attachment to outcomes",2
"Dhauti","Shatkarma: internal cleansing; 13 types including voluntary vomiting (Kunjal Kriya) and cloth swallowing (Vastra Dhauti); purifies the digestive tract",2
"Basti","Shatkarma: yogic enema; cleansing of the colon using water; removes waste and balances Apana Vayu",2
"Neti","Shatkarma: nasal passage cleansing; Jala Neti uses warm saline water; Sutra Neti uses a waxed thread; clears sinuses and supports pranayama",2
"Nauli","Shatkarma: abdominal massage through isolation and churning of the rectus abdominis; massages internal organs and stimulates digestive fire (Agni)",2
"Trataka","Shatkarma: one-pointed gazing, typically at a candle flame without blinking; purifies and strengthens the eyes; develops concentration (Dharana)",2
"Kapalabhati","Shatkarma: skull-shining breath; forceful rapid exhalations with passive inhalations; cleanses the respiratory tract and energizes the mind",2
"Mana","Antahkarana: the indecisive mind; receives and processes sensory input; generates doubts and mental fluctuations (vrittis)",2
"Buddhi","Antahkarana: the intellect; the decisive faculty; discerns, determines, and provides clarity and wisdom",2
"Citta","Antahkarana: memory and the subconscious; the storehouse of impressions (samskaras) and past experiences",2
"Ahamkara","Antahkarana: the ego; the ""I""-maker; creates the sense of individual identity, ownership, and doership",2
"Benefits of Surya Namaskar","A connected series of asanas with synchronized breath that functions as moving meditation; benefits include improved focus and reduced anxiety, depression, stress responses, and insomnia",2
